"obs","id","time","strawberry","blueberry","pina.colada","plain","mixed.berry","price"
187,"2103291",9775,0,1,1,0,1,39.04
188,"2103291",9807,1,0,1,0,0,39.04
189,"2103291",9992,1,1,1,0,0,48.96
190,"2103291",10024,1,0,0,0,0,48.96
191,"2103291",10115,1,1,0,0,1,48.96
192,"2103291",10154,2,2,0,0,0,33.04
193,"2103291",10171,0,0,0,0,1,39.04
194,"2103291",10263,1,1,0,0,0,44
195,"2103291",10277,1,1,1,0,0,50
196,"2103291",10283,0,1,0,0,0,50
197,"2103291",10297,0,2,0,0,0,39.04
198,"2103291",10311,0,1,0,0,0,68.96
199,"2103291",10381,0,1,0,0,0,68.96
200,"2103390",9944,0,0,0,0,1,65.04
201,"2103390",10108,0,1,0,0,1,33.04
203,"2103887",10018,0,0,0,0,1,48.96
204,"2103887",10108,3,3,0,0,0,33.36
206,"2103887",10211,1,0,1,1,0,68.96
207,"2103994",9678,0,1,1,0,1,58.96
208,"2103994",10231,0,0,1,1,1,68.96
209,"2103994",10437,0,0,0,2,0,68.96
210,"2104067",9672,0,0,0,2,0,58.96
211,"2104067",9957,0,0,0,1,0,65.04
212,"2104091",9708,0,1,0,0,0,58.96
213,"2104091",9947,0,0,0,0,1,65.04
214,"2104091",10056,0,0,0,0,1,65.04
215,"2104091",10381,0,0,2,0,1,50
216,"2104273",9778,1,0,0,0,0,65.04
217,"2104273",9933,1,0,0,0,0,65.04
218,"2104273",9998,0,1,0,0,0,65.04
219,"2104273",10349,0,1,0,0,0,68.96
221,"2104547",9671,1,0,0,0,1,58.96
222,"2104547",9727,1,0,0,0,1,58.96
223,"2104547",9768,1,0,0,0,1,58.96
224,"2104547",9776,0,0,0,0,1,39.04
225,"2104547",9784,1,0,0,0,0,65.04
226,"2104547",9804,1,0,0,0,0,65.04
227,"2104547",9874,0,0,0,0,1,65.04
228,"2104547",9895,1,0,0,0,0,65.04
229,"2104547",10041,0,1,0,0,0,65.04
230,"2104547",10042,0,1,0,0,0,65.04
231,"2104547",10049,0,0,0,0,1,65.04
232,"2104547",10063,0,3,0,0,0,65.04
233,"2104547",10084,0,2,0,0,0,65.04
234,"2104547",10098,0,1,0,0,0,65.04
235,"2104547",10105,0,3,0,0,0,65.04
236,"2104547",10140,0,2,0,0,0,68.96
237,"2104547",10238,0,0,0,0,1,68.96
238,"2104547",10245,0,2,0,0,0,68.96
239,"2104547",10252,0,2,0,0,0,68.96
240,"2104547",10266,0,2,0,0,0,44
241,"2104547",10280,0,1,0,0,0,68.96
242,"2104547",10343,0,0,0,2,0,68.96
244,"2104620",10279,0,0,0,1,0,39.04
245,"2104620",10386,0,0,0,2,0,50
248,"2104950",9773,1,0,0,2,0,39.04
249,"2104950",9813,1,0,0,0,0,65.04
250,"2104950",9980,4,0,0,0,0,65.04
251,"2104950",10340,1,0,0,0,0,50
252,"2104950",10344,2,0,0,0,0,50
253,"2104950",10353,2,0,0,0,0,68.96
256,"2105155",10255,2,0,0,0,0,68.96
257,"2105155",10408,1,0,0,0,0,68.96
258,"2105155",10413,1,0,0,0,0,68.96
259,"2105155",10431,1,1,0,0,0,24.96
260,"2105239",10175,0,0,1,0,0,39.04
261,"2105239",10256,0,0,1,0,0,68.96
262,"2105239",10266,0,0,0,0,1,44
263,"2105254",9745,2,0,3,0,0,39.04
264,"2105254",9807,0,0,0,2,0,39.04
265,"2105254",10053,0,0,0,2,0,65.04
266,"2105254",10149,2,0,2,0,0,33.04
267,"2105254",10154,3,0,0,0,0,33.04
268,"2105254",10455,0,0,0,2,0,50
269,"2105320",10257,0,0,0,1,0,68.96
270,"2105320",10381,0,1,1,0,0,50
271,"2105346",9911,1,0,0,0,0,50
272,"2105346",9922,1,0,0,0,0,65.04
273,"2105346",9939,1,0,0,0,0,65.04
274,"2105346",10101,1,0,0,0,0,65.04
276,"2105361",10084,0,0,2,0,0,65.04
277,"2105361",10172,0,0,4,0,0,39.04
278,"2105361",10210,0,0,1,0,0,68.96
279,"2105361",10295,0,0,1,0,0,39.04
281,"2105403",9748,0,1,2,0,1,39.04
282,"2105403",9770,1,0,2,0,0,39.04
283,"2105403",9774,0,0,0,0,1,39.04
284,"2105403",9806,0,0,4,0,0,39.04
285,"2105403",10173,0,1,2,0,0,39.04
286,"2105403",10326,0,0,1,0,0,68.96
287,"2105403",10390,0,0,1,0,0,50
288,"2105759",9704,1,0,0,0,1,58.96
289,"2105759",9745,1,0,0,0,0,58.96
290,"2105759",9788,1,0,0,0,1,65.04
291,"2105759",9802,0,0,0,0,1,65.04
292,"2105759",9841,0,0,0,0,2,65.04
293,"2105759",9855,4,0,0,0,0,65.04
294,"2105759",9989,1,0,0,0,1,65.04
295,"2105759",10005,1,0,0,0,1,65.04
296,"2105759",10012,2,0,0,0,0,65.04
297,"2105759",10019,2,0,0,0,0,65.04
298,"2105759",10047,1,0,0,0,1,65.04
299,"2105759",10055,1,0,0,0,1,65.04
300,"2105759",10061,0,0,0,0,1,65.04
301,"2105759",10069,1,0,0,0,0,65.04
302,"2105759",10075,1,0,0,0,0,65.04
303,"2105759",10082,0,0,0,0,1,65.04
304,"2105759",10110,3,0,0,0,0,33.36
305,"2105759",10124,1,0,0,0,1,68.96
306,"2105759",10138,3,0,0,0,0,68.96
307,"2105759",10145,0,0,0,0,1,68.96
308,"2105759",10178,1,0,0,0,1,68.96
309,"2105759",10187,1,0,0,0,1,68.96
310,"2105759",10257,0,0,0,0,1,68.96
311,"2105759",10298,6,0,0,0,0,39.04
312,"2105759",10374,1,0,0,0,0,68.96
313,"2105759",10432,0,0,0,0,1,68.96
314,"2106047",9833,0,0,0,2,0,65.04
315,"2106047",9950,1,0,0,0,0,45.04
316,"2106047",10102,0,0,0,1,0,65.04
317,"2106047",10118,1,0,0,0,0,68.96
318,"2106286",9758,0,0,0,1,0,58.96
319,"2106286",9826,2,0,0,0,0,65.04
320,"2106286",10016,2,0,0,0,0,48.96
321,"2106286",10148,0,0,0,1,0,68.96
322,"2106286",10194,1,0,0,0,0,68.96
323,"2106286",10242,0,0,0,1,0,68.96
324,"2106286",10271,3,0,0,0,0,68.96
325,"2106351",10247,0,0,0,1,0,68.96
327,"2106351",10431,0,8,0,0,0,24.96
328,"2106401",9787,1,1,0,0,0,39.04
329,"2106401",10341,1,1,0,0,0,50
330,"2106567",9807,0,1,0,0,0,39.04
331,"2106567",10296,0,0,0,1,0,39.04
332,"2106724",9946,0,0,0,0,1,65.04
333,"2106724",10338,0,0,0,0,1,50
334,"2106724",10358,0,0,0,0,1,68.96
335,"2106724",10379,0,0,1,0,0,50
336,"2106724",10450,0,1,0,0,0,50
337,"2106724",10456,0,0,1,0,1,50
338,"2106799",9718,5,0,0,0,0,58.96
339,"2106799",9771,2,2,0,0,0,39.04
340,"2106799",10108,0,6,0,0,0,33.36
341,"2106799",10127,4,0,0,0,0,39.04
342,"2106799",10144,0,0,0,0,6,68.96
343,"2106799",10309,0,2,0,0,0,68.96
344,"2106799",10318,2,0,0,0,0,65.04
345,"2106799",10425,2,2,0,0,2,50
347,"2107094",9797,0,0,0,1,0,65.04
348,"2107094",10213,0,0,0,2,0,68.96
349,"2107300",9795,1,0,0,0,0,65.04
351,"2107300",9872,0,1,0,0,0,65.04
352,"2107391",9996,1,0,0,0,3,39.04
353,"2107391",10111,2,0,2,0,0,33.04
354,"2107391",10379,1,0,0,0,0,50
355,"2107391",10430,0,2,3,0,0,24.96
356,"2107391",10437,0,0,8,0,0,24.96
357,"2107706",9944,0,0,0,0,2,65.04
358,"2107706",9953,0,0,0,0,1,65.04
359,"2107706",9968,0,0,0,0,1,65.04
360,"2107706",9980,0,0,0,0,1,65.04
361,"2107706",9997,0,0,0,1,0,65.04
362,"2107953",9754,0,0,1,0,0,48.96
363,"2107953",9758,0,0,2,0,0,48.96
364,"2107953",9766,0,0,1,0,0,58.96
365,"2107953",9777,0,0,6,0,0,48.96
366,"2107953",9782,0,0,1,0,0,39.04
367,"2107953",9787,0,0,2,0,0,39.04
368,"2107953",9793,0,0,1,0,0,65.04
369,"2107953",9801,0,0,1,0,0,65.04
371,"2107953",10109,0,0,0,6,0,33.36
372,"2107953",10114,0,0,2,0,0,50
373,"2108100",9801,0,0,1,0,0,65.04
374,"2108100",9830,0,0,0,0,4,65.04
375,"2108100",9864,0,0,0,0,2,65.04
376,"2108100",9879,0,0,0,0,2,65.04
377,"2108209",9692,2,0,0,0,0,58.96
378,"2108209",10018,1,1,0,0,1,48.96
379,"2108209",10123,0,1,0,0,0,68.96
380,"2108209",10208,0,1,0,0,0,68.96
381,"2108209",10340,0,1,0,0,0,50
382,"2108639",9899,2,0,0,0,0,65.04
383,"2108639",9902,1,0,0,0,0,65.04
384,"2108639",9903,1,0,0,0,0,65.04
386,"2108639",9910,1,0,0,0,0,55.04
387,"2108639",9916,1,0,0,0,0,65.04
388,"2108639",9918,1,0,0,0,0,65.04
389,"2108639",9923,1,0,0,0,0,65.04
390,"2108639",10349,1,0,0,0,0,65.04
391,"2108704",10109,0,0,2,0,0,33.04
392,"2108704",10250,0,0,1,0,0,68.96
393,"2108704",10275,1,0,0,0,0,50
394,"2108704",10280,1,0,1,0,0,50
396,"2108944",9663,1,2,0,0,0,62
397,"2108944",9670,0,0,1,0,0,62
398,"2108944",9679,0,1,0,0,0,58.96
399,"2108944",9687,0,0,1,0,0,58.96
400,"2108944",9720,1,0,1,0,0,58.96
401,"2108944",9733,0,1,1,0,0,58.96
402,"2108944",9748,0,1,1,0,0,58.96
403,"2108944",9757,0,1,1,0,0,58.96
404,"2108944",9768,0,0,1,0,0,58.96
406,"2108944",9780,1,1,0,0,0,65.04
407,"2108944",9790,1,0,0,0,0,65.04
408,"2108944",9811,0,1,1,0,0,65.04
409,"2108944",9824,0,1,0,0,0,65.04
410,"2108944",9924,0,1,1,0,0,65.04
411,"2108944",9929,0,0,0,0,1,68.96
412,"2108985",9748,5,0,0,0,0,39.04
413,"2108985",9809,1,1,0,0,1,39.04
415,"2108985",10175,2,0,1,0,0,39.04
416,"2108985",10301,2,3,2,0,0,39.04
417,"2109025",9934,1,0,1,0,0,50
418,"2109025",10032,0,0,0,1,0,65.04
419,"2109033",10279,0,1,0,0,0,68.96
420,"2109033",10307,0,1,0,0,1,68.96
423,"2109298",9744,0,0,1,0,0,39.04
425,"2109298",9786,1,0,0,0,0,58.96
426,"2109298",9791,1,0,0,0,0,48.96
427,"2109298",9806,1,0,1,0,0,39.04
428,"2109298",9986,0,0,0,1,0,65.04
431,"2109298",10025,1,0,0,0,0,65.04
434,"2109298",10090,1,0,0,0,1,65.04
437,"2109298",10171,1,0,0,0,0,39.04
438,"2109298",10175,1,0,0,0,0,39.04
439,"2109298",10195,0,0,0,0,1,68.96
441,"2109298",10210,1,0,0,0,0,68.96
443,"2109298",10241,1,0,0,0,0,68.96
444,"2109298",10266,1,0,0,0,0,44
445,"2109298",10295,1,0,0,0,0,39.04
446,"2109298",10300,1,0,0,0,0,39.04
447,"2109298",10307,0,0,0,0,1,68.96
450,"2109298",10363,0,0,1,0,0,68.96
455,"2109769",9744,0,1,0,0,0,58.96
456,"2109769",9913,0,0,0,0,1,33.04
457,"2110007",9761,0,0,1,0,0,58.96
458,"2110007",9776,0,0,4,0,0,39.04
460,"2110007",10027,0,0,0,1,0,48.96
461,"2110007",10031,0,0,0,1,0,65.04
462,"2110007",10034,0,0,0,1,0,65.04
466,"2110031",9894,0,0,1,0,0,65.04
467,"2110031",9909,1,0,0,0,1,55.04
468,"2110031",9931,0,0,0,0,2,50
469,"2110031",9936,0,0,1,0,0,50
471,"2110031",9985,3,0,0,0,0,65.04
472,"2110031",9999,0,0,1,0,0,65.04
473,"2110031",10055,1,1,0,0,0,65.04
475,"2110031",10118,0,0,1,0,0,68.96
476,"2110031",10125,1,1,0,0,0,68.96
477,"2110031",10128,0,0,0,1,0,68.96
478,"2110031",10132,0,0,1,0,0,68.96
480,"2110031",10169,1,1,1,0,0,68.96
481,"2110031",10180,0,2,0,0,0,68.96
482,"2110031",10205,0,1,0,0,1,68.96
483,"2110031",10216,0,0,0,2,0,68.96
484,"2110031",10225,0,0,1,0,1,68.96
485,"2110031",10235,0,1,1,0,1,68.96
486,"2110031",10249,1,1,0,0,0,65.04
488,"2110031",10292,1,0,0,0,0,65.04
489,"2110031",10300,0,1,1,0,0,39.04
490,"2110031",10301,0,0,0,0,1,39.04
491,"2110031",10375,0,1,1,0,0,68.96
492,"2110056",10172,2,0,0,0,0,39.04
493,"2110056",10448,0,0,1,0,0,50
494,"2110411",9692,0,0,0,2,0,58.96
496,"2110411",9745,0,1,1,0,0,39.04
497,"2110411",9750,0,2,0,2,0,48.96
498,"2110411",9778,0,2,0,2,0,65.04
499,"2110411",9966,0,0,0,1,0,65.04
500,"2110411",9999,0,0,0,2,0,39.04
501,"2110411",10006,0,0,0,1,0,65.04
502,"2110411",10036,0,0,0,2,0,65.04
503,"2110411",10110,0,0,0,2,0,65.04
504,"2110411",10112,0,0,0,6,0,33.36
505,"2110411",10150,0,0,0,6,0,33.36
506,"2110411",10162,0,0,0,2,0,50
507,"2110411",10172,0,2,1,0,0,39.04
508,"2110411",10173,0,2,3,0,0,39.04
509,"2110411",10175,0,3,0,0,0,39.04
510,"2110411",10237,0,0,0,2,0,68.96
511,"2110411",10290,0,0,0,1,0,68.96
512,"2110411",10299,0,0,0,1,0,68.96
513,"2110411",10342,0,0,0,1,1,50
514,"2110460",9942,0,1,0,0,0,65.04
515,"2110460",10032,0,1,0,0,0,65.04
516,"2110460",10300,0,0,0,0,2,39.04
517,"2110635",10046,0,2,0,0,0,65.04
518,"2110635",10068,0,1,0,0,0,65.04
519,"2110635",10342,0,1,0,0,1,50
520,"2110775",10256,0,0,0,0,2,68.96
521,"2110775",10305,1,0,0,0,1,65.04
523,"2110775",10347,1,0,0,0,0,68.96
525,"2110890",9876,0,0,0,1,0,65.04
526,"2110890",9930,0,0,0,1,0,65.04
527,"2110890",9939,0,0,0,0,1,65.04
528,"2110965",9993,0,4,0,0,0,48.96
529,"2110965",10000,0,2,0,0,0,65.04
530,"2110965",10096,0,3,0,0,0,65.04
531,"2111203",10151,1,0,0,0,0,33.04
532,"2111203",10270,1,0,0,0,0,50
535,"2111385",9932,2,0,0,0,0,50
536,"2111385",9935,1,0,0,0,0,50
537,"2111385",9945,1,0,0,0,0,65.04
538,"2111385",10021,1,0,0,0,0,48.96
540,"2111674",9752,0,0,1,0,0,58.96
541,"2111674",9767,3,0,0,0,0,58.96
542,"2111674",9851,0,0,0,0,1,65.04
543,"2111674",9864,0,0,0,0,2,65.04
544,"2111674",9907,0,0,1,0,0,55.04
545,"2111674",9921,1,1,0,0,2,65.04
546,"2111674",9935,1,0,1,0,1,50
547,"2111674",9968,0,1,1,0,0,65.04
548,"2111674",9978,0,0,0,0,1,65.04
549,"2111674",10184,0,1,0,0,0,68.96
553,"2111922",9675,1,0,1,0,0,58.96
554,"2111922",9763,1,0,0,0,2,58.96
555,"2111922",9784,1,0,1,0,2,65.04
556,"2111922",9796,2,0,0,0,2,65.04
557,"2111922",9800,0,0,1,0,1,65.04
558,"2111922",9936,1,0,1,0,1,65.04
559,"2111922",10020,1,0,0,0,1,48.96
560,"2111922",10084,1,0,1,0,1,65.04
561,"2111922",10105,1,0,1,0,1,65.04
562,"2111922",10120,1,0,1,0,1,68.96
563,"2111922",10132,0,0,1,0,0,68.96
564,"2111922",10162,1,0,1,0,1,68.96
565,"2111922",10177,1,0,0,0,1,68.96
566,"2111922",10186,0,0,1,0,0,68.96
567,"2111922",10275,0,0,0,1,0,68.96
568,"2111922",10302,1,1,0,0,1,68.96
569,"2111922",10366,0,0,0,0,1,68.96
570,"2111922",10379,0,0,0,0,2,50
571,"2112235",9747,0,0,0,1,0,58.96
573,"2112235",10021,0,0,0,0,1,48.96
574,"2112235",10301,0,0,0,1,0,68.96
576,"2112235",10366,0,0,0,1,0,68.96
579,"2112482",9776,0,0,0,1,0,39.04
580,"2112482",10175,1,0,0,0,0,39.04
581,"2112482",10301,1,0,0,1,0,39.04
582,"2112516",9720,1,0,0,0,0,58.96
583,"2112516",9768,0,1,0,0,0,58.96
584,"2112516",9771,4,0,0,0,0,58.96
585,"2112516",9813,0,0,0,0,2,65.04
586,"2112516",9899,0,0,0,0,2,65.04
587,"2112516",9973,5,0,0,0,0,65.04
588,"2112516",10095,1,0,0,0,0,65.04
589,"2112516",10191,1,0,0,0,0,68.96
590,"2112516",10338,0,0,0,0,1,68.96
591,"2112516",10355,0,0,0,0,2,68.96
592,"2112516",10369,2,0,0,0,0,68.96
593,"2112516",10375,2,0,0,0,2,68.96
594,"2112516",10382,1,0,0,0,0,68.96
595,"2112516",10398,1,0,0,0,0,68.96
596,"2112516",10428,2,0,0,0,0,50
601,"2113340",9679,0,0,0,1,0,58.96
602,"2113340",9796,0,0,0,2,0,65.04
603,"2113340",10127,3,0,0,0,0,68.96
604,"2113340",10162,1,0,0,0,0,68.96
605,"2113340",10184,0,1,0,0,0,68.96
610,"2113472",9719,0,0,0,4,0,58.96
611,"2113472",10013,0,0,0,1,0,65.04
612,"2113472",10158,0,0,0,2,0,68.96
613,"2113472",10159,0,0,0,2,0,68.96
614,"2113472",10163,0,0,0,1,0,68.96
615,"2113472",10170,0,0,0,3,0,39.04
616,"2113472",10208,0,0,0,1,0,68.96
617,"2113472",10306,0,0,0,2,0,68.96
618,"2113472",10334,0,0,0,1,0,68.96
619,"2113472",10370,0,0,0,1,0,68.96
620,"2113472",10385,0,0,0,2,0,50
621,"2113472",10443,0,0,0,2,0,50
622,"2113613",9749,1,0,0,0,1,58.96
623,"2113613",9909,1,0,0,0,0,65.04
624,"2113613",10108,0,0,0,6,0,33.36
625,"2113613",10236,0,0,0,1,0,68.96
626,"2113779",9998,0,0,0,0,1,39.04
627,"2113779",10027,0,0,0,0,1,48.96
628,"2113779",10108,0,0,0,0,2,33.04
629,"2113779",10151,0,0,0,0,2,33.04
630,"2113779",10174,0,0,0,0,1,39.04
631,"2113779",10297,0,0,0,0,1,39.04
632,"2113779",10429,0,1,0,0,0,20
640,"2114025",10101,0,0,0,0,2,65.04
641,"2114025",10108,0,0,0,0,4,65.04
643,"2114025",10124,0,0,0,0,3,68.96
646,"2114025",10169,0,0,0,0,2,68.96
647,"2114025",10184,0,0,0,0,2,68.96
648,"2114025",10229,0,0,0,0,2,68.96
649,"2114025",10245,0,0,0,0,2,68.96
650,"2114025",10262,0,0,0,0,3,68.96
651,"2114025",10275,0,0,0,0,3,68.96
652,"2114025",10289,0,0,0,0,3,68.96
653,"2114025",10305,0,0,0,0,2,68.96
654,"2114025",10311,0,0,0,0,2,68.96
655,"2114025",10328,0,0,0,0,3,68.96
656,"2114025",10339,0,0,0,0,2,50
657,"2114025",10361,0,0,0,0,1,68.96
658,"2114025",10368,0,0,0,0,3,68.96
659,"2114025",10381,1,0,0,0,1,50
660,"2114025",10395,0,0,0,0,5,68.96
661,"2114025",10403,0,0,0,0,3,68.96
662,"2114025",10421,0,0,0,0,2,68.96
663,"2114025",10429,0,0,0,0,2,68.96
664,"2114025",10444,0,0,0,0,2,50
665,"2114041",10144,0,0,2,0,0,68.96
666,"2114041",10301,1,0,0,0,0,68.96
667,"2114074",9907,0,0,2,2,0,49.6
668,"2114074",9913,10,0,0,0,0,49.52
669,"2114074",9931,0,0,1,2,1,50
671,"2114074",9937,0,0,0,2,0,50
672,"2114074",9951,2,0,0,2,2,45.04
673,"2114074",9956,0,2,0,0,0,65.04
674,"2114074",10039,0,0,7,0,0,65.04
675,"2114074",10074,2,0,0,0,0,65.04
676,"2114074",10418,0,1,0,0,0,68.96
677,"2114074",10441,0,3,0,0,0,68.96
678,"2114074",10459,0,1,0,0,0,68.96
679,"2114231",10072,0,0,0,1,0,65.04
680,"2114231",10101,0,0,0,1,0,65.04
681,"2114231",10374,0,0,0,2,0,68.96
682,"2114314",9667,2,0,0,0,0,58.96
